EPIC,Name
III,3i Group Plc
ADM,Admiral Group
AAL,Anglo American
ANTO,Antofagasta Holdings
AHT,Ashtead Group plc
ABF,Associated British Foods plc
AZN,AstraZeneca plc
AUTO,Auto Trader Group plc
AVST,Avast plc
AVV,AVEVA Group plc
AV.,Aviva plc
BME,B&M European Value Retail SA
BA.,BAE Systems plc
BARC,Barclays plc
BDEV,Barratt Developments plc
BKG,Berkeley Group Holdings plc
BHP,BHP Group Plc
BP.,BP Plc
BATS,British American Tobacco plc
BLND,British Land Co plc
BT.A,BT Group plc
BNZL,Bunzl plc
BRBY,Burberry Group plc
CCH,Coca-Cola HBC AG
CPG,Compass Group plc
CRH,CRH plc
CRDA,Croda International plc
DCC,DCC plc
DGE,Diageo plc
EVR,Evraz plc
EXPN,Experian Plc
FERG,Ferguson plc
FLTR,Flutter Entertainment
FRES,Fresnillo
GSK,GlaxoSmithKline plc
GLEN,Glencore plc
GVC,GVC Holdings plc
HLMA,Halma plc
HL.,Hargreaves Lansdown plc
HIK,Hikma Pharmaceuticals
HSV,Homeserve plc
HSBA,HSBC Holdings plc
IMB,Imperial Brands Group
INF,Informa plc
IHG,InterContinental Hotels Group plc
ICP,Intermediate Capital Group plc
IAG,International Consolidated Airlines Group SA
ITRK,Intertek Group plc
JD.,JD Sports Fashion plc
JMAT,Johnson Matthey Plc
